鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
文山區,房地(土地+建物)+車位,臺北市文山區景華街181~210號,31.59,住,,,1070601,土地1建物1車位1,十四層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1050930,263.57,4,2,2,有,有,50500000,219765,坡道平面,41.97,1800000,車位價款180萬土地款1116000房屋款684000,RPSOMLLLOHNFFAA77CA
文山區,房地(土地+建物)+車位,臺北市文山區景華街181~210號,32.05,住,,,1070606,土地1建物1車位2,十五層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1050930,306.41,4,2,2,有,有,51980000,217468,坡道平面,83.94,3600000,車位價款各180萬(土地款各1116000房屋款各684000),RPTOMLLLOHNFFAA87CA
中正區,房地(土地+建物),臺北市中正區泉州街1~30號,30.82,住,,,1070506,土地3建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730519,158.86,3,2,2,有,無,23500000,147929,,0.0,0,,RPQNMLMLOHNFFAA57CA
文山區,房地(土地+建物),臺北市文山區萬慶街1~30號,13.42,住,,,1070521,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,37.41,3,2,1,有,無,2850000,76183,,0.0,0,親友、員工或其他特殊關係間之交易。,RPOOMLQLOHNFFAA87CA
文山區,房地(土地+建物),臺北市文山區永安街48巷1~30號,88.4,住,,,1070516,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,,59.02,4,2,3,有,無,21380000,362250,,0.0,0,,RPROMLSLOHNFFAA38CA
文山區,房地(土地+建物),臺北市文山區秀明路一段19巷5弄1~30號,29.95,住,,,1070521,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700615,79.31,3,1,1,有,無,7000000,88261,,0.0,0,,RPQNMLTLOHNFFAA28CA
文山區,房地(土地+建物),臺北市文山區福興路61~90號,23.48,住,,,1070521,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0811116,80.21000000000001,3,2,2,有,無,10500000,130906,,0.0,0,,RPRNMLTLOHNFFAA38CA
中正區,房地(土地+建物),臺北市中正區金門街34巷1~30號,62.52,住,,,1070427,土地3建物1車位0,二層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,,102.03,4,2,2,有,無,16000000,156817,,0.0,0,本件係2親等間買賣移轉.衛浴1大1小,RPPOMLTLOHNFFAA28CA
文山區,房地(土地+建物),臺北市文山區辛亥路五段61~90號,8.15,住,,,1070422,土地1建物1車位0,七層,十一層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1040318,41.91,1,1,1,有,有,7800000,186113,,0.0,0,,RPQOMLTLOHNFFAA38CA
文山區,房地(土地+建物)+車位,臺北市文山區木新路三段61~90號,36.63,住,,,1070523,土地1建物1車位2,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000718,294.23,4,2,2,有,有,37380000,127043,坡道平面,74.84,0,,RPWNMLNJPHNFFAA18CA
